"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G59320",4333.52215919756,9.18194162943681,0.338451181735855,27.12929404573,4.44476848682368e-162,9.61625662124303e-158
"AT5G09530",2733.83591835028,7.34684576057393,0.280827152449969,26.1614509013078,7.30134284062838e-151,7.89822761784975e-147
"AT5G52300",39211.6046551025,5.89058693699276,0.237318369777871,24.8214537395749,5.26022344121936e-136,3.79349780502603e-132
"AT2G19900",1953.93500034984,5.1552270726562,0.240636492610459,21.4232970931863,8.10444660640682e-102,4.38349255824029e-98
"AT1G52690",26216.3087454225,5.02065081348195,0.237263427576488,21.1606603881814,2.20118107334943e-99,9.524510504383e-96
"AT1G04560",2132.12623469402,4.94269258232243,0.244236845901198,20.2372928789046,4.5973796711059e-91,1.65773848640627e-87
"AT2G46680",2409.66472928759,4.34097468973452,0.221038055995086,19.6390375865006,7.17449614026185e-86,2.21743177135093e-82
"AT2G42560",1904.07408924984,4.91420641503142,0.25098314926405,19.5798260936688,2.29803684691553e-85,6.2147533978772e-82
"AT5G66400",24447.7449526333,5.1384183072873,0.262639103671129,19.5645592581732,3.10072720438822e-85,7.45380367410434e-82
"AT3G02480",13682.1906839425,5.56691323274257,0.285048076654566,19.5297344156045,6.13576861497401e-85,1.32747353984963e-81
"AT1G43160",1108.75228186594,5.46124043581214,0.282447218479966,19.335437131237,2.70367012435213e-83,5.31762755821439e-80
"AT3G57020",1077.96784139836,4.61274310399931,0.248319310925012,18.5758533511406,5.03975309139752e-77,9.08625484436545e-74
"AT1G29090",1297.65107185009,-6.15368834645148,0.332928386134003,-18.483519587827,2.80286497324234e-76,4.66461413046908e-73
"AT5G53870",865.044431822849,6.7472571074058,0.366826492897832,18.3935927149216,1.47849923594255e-75,2.28480935497265e-72
"AT5G06760",6694.82148370384,4.88012710861918,0.26808445516338,18.2036929580459,4.82430696812986e-74,6.95825875036597e-71
"AT4G33550",1546.19038127377,4.72817603131153,0.259941601477846,18.1893779388541,6.26471347350261e-74,8.47106724995181e-71
"AT2G47770",6376.37253524436,4.95268526112317,0.274598833735824,18.036075367632,1.01501486656855e-72,1.29175568460062e-69
"AT5G43840",741.065794668647,6.16737970643146,0.342852673802648,17.9884252849126,2.40083800058638e-72,2.8856738968159e-69
"AT5G17460",2127.84628062392,3.90513476900255,0.21766533591179,17.9410044904216,5.64258588199492e-72,6.42512345036633e-69
"AT2G37870",871.180244980707,6.51129100382426,0.364584959278249,17.8594613906025,2.43982244179564e-71,2.63927792641243e-68
"AT5G07330",1394.52696407709,5.18515257230228,0.295524935133352,17.5455670769796,6.4307701565782e-69,6.62522439702711e-66
"AT5G13580",660.572727872056,7.1180469445409,0.40619597550376,17.5236766826977,9.45150994585072e-69,9.29470080356729e-66
"AT3G17520",8504.88250968205,5.12691608933163,0.29276802919495,17.5118714411186,1.1630670816839e-68,1.09404157879266e-65
"AT2G29380",664.65015773298,7.28514540603094,0.423480559373475,17.2030220627107,2.5203675193967e-66,2.27200630342281e-63
"AT1G77120",1181.77927179962,4.22422886817307,0.248402557376399,17.0055772081774,7.46661459497644e-65,6.46160827049261e-62
"AT5G25610",12930.6705013096,3.58083810199995,0.211005752045684,16.9703340657021,1.36155306289972e-64,1.13296925060906e-61
"AT5G59220",1999.14527651408,4.74830313130452,0.284963231517222,16.6628624543007,2.44058951181506e-62,1.95563533659699e-59
"AT5G11110",1789.79915554149,3.69164196983581,0.221693422057225,16.6520140091613,2.92587497755469e-62,2.26076089783556e-59
"AT1G54870",1519.48232942443,3.87394864897624,0.234214880289637,16.5401474243891,1.8856033280339e-61,1.4067251035177e-58
"AT1G49450",939.87486857512,4.95875552983325,0.300250533103064,16.5153929239856,2.8430332071893e-61,2.05030078125135e-58
"AT2G41850",630.698808187893,-6.47730752996107,0.393907757447119,-16.4437165998962,9.30343214353987e-61,6.49289530404791e-58
"AT3G27250",959.201902505515,3.94374136084704,0.240924420446144,16.3692055522807,3.17329134830306e-60,2.14544244751677e-57
"AT4G33610",610.396238204899,7.55266701289656,0.463359446611387,16.2998015215408,9.90131300303391e-60,6.49136081274663e-57
"AT1G27461",483.724979570518,5.1265069477976,0.31554267923292,16.246635669888,2.35962962040111e-59,1.50148784815818e-56
"AT2G21490",868.857797976051,4.27523003885967,0.263179994489204,16.2445099490077,2.44285660793199e-59,1.51003436321739e-56
"AT3G50970",7653.15302435331,4.55415935983452,0.282885225807791,16.0989650372511,2.5940739026325e-58,1.55896635787373e-55
"AT5G66780",2273.48843323552,4.83068684162363,0.30386591514756,15.8974290988768,6.6018977496315e-57,3.86032588684534e-54
"AT3G03341",1124.86188258631,4.57449155837264,0.289259156180044,15.8145091024373,2.47128372796401e-56,1.40700588038161e-53
"AT4G02280",3029.46362862992,3.75885391704793,0.238083857243134,15.787941108537,3.76675081842172e-56,2.08958087068087e-53
"AT3G53040",1485.40862564648,4.21054062931999,0.267333892108807,15.7501190593756,6.85521308821535e-56,3.70781337908848e-53
"AT1G55990",622.216563729444,7.82074028304707,0.497578812004931,15.7175910516253,1.14598700545894e-55,6.04717777148882e-53
"AT3G56275",403.633511888165,5.13367554308015,0.33255612010581,15.437020198115,9.2265538288712e-54,4.75277362113401e-51
"AT1G05340",2708.62331637423,3.37497472841907,0.221612095315043,15.2291991266145,2.26347156921364e-52,1.13884203255668e-49
"AT1G26250",351.989552783096,-5.67729007109869,0.376941326870102,-15.0614688981958,2.90265334792628e-51,1.42724784505421e-48
"AT4G02360",398.967811189914,5.36151388444603,0.357526092799249,14.9961471132585,7.78067125090206e-51,3.74077383362813e-48
"AT1G73190",1252.20172643556,3.54693630275442,0.239239957131322,14.8258524423973,9.97060916916916e-50,4.68943759510815e-47
"AT5G09520",407.416454200534,6.86026539104229,0.463835834356479,14.7902876037169,1.69229146964337e-49,7.78994169058175e-47
"AT3G22830",461.415522047525,4.27951286528762,0.289841165371382,14.7650278034321,2.46220726101625e-49,1.10978862691847e-46
"AT1G07430",472.730003229673,4.83503221014547,0.332911345678245,14.5234828218155,8.60259302855167e-48,3.79830816679011e-45
"AT5G15960",7821.97196466956,4.69688261933115,0.324296279377611,14.4833071423003,1.54481889738708e-47,6.68443136899391e-45
"AT3G11410",3021.69028018,3.55063520202329,0.246112556640351,14.4268754528112,3.50608258545817e-47,1.48733523012524e-44
"AT3G57010",2838.0084392112,3.81942983957012,0.265194654840034,14.4023635841152,5.00037596256052e-47,2.08044488365379e-44
"AT5G01670",1599.39953438527,3.12858699619517,0.218066243357891,14.3469569063953,1.11315487541946e-46,4.54398221315095e-44
"AT5G50360",531.092650056616,4.2237845505156,0.295902862240528,14.2742267463512,3.16782000499112e-46,1.26918121866635e-43
"AT5G40420",1841.041318656,4.31158747971213,0.304431060301649,14.1627712870032,1.55729603556747e-45,6.12583631445497e-43
"AT5G01300",622.84274112393,4.17031532004394,0.297779939521079,14.0046885856417,1.45917931285331e-44,5.6373829345681e-42
"AT4G36600",1508.89420430145,4.66465709014071,0.337561204797627,13.8187002056034,1.96587463747829e-43,7.46170136523557e-41
"AT5G37300",723.371993553658,3.74070607438619,0.271329546140357,13.7865784526509,3.06977917968816e-43,1.14508056125092e-40
"AT5G20830",925.511594185875,3.38957525471203,0.247330444144645,13.7046422507119,9.5235546048728e-43,3.49223904875293e-40
"AT3G03240",404.788152038718,3.88996376640594,0.285016542803329,13.6482034626676,2.06916994966881e-42,7.46108197684744e-40
"AT3G50980",547.089152005001,4.08311010712178,0.300430555460264,13.5908616247984,4.53707538166911e-42,1.60917419479363e-39
"AT1G14730",1106.97721400445,3.31216000648072,0.247759010524961,13.3684744682455,9.24168382137142e-41,3.2249004754092e-38
"AT3G58450",417.778992102812,3.93058969570028,0.29411648714604,13.3640576692615,9.80690819503538e-41,3.3678168063427e-38
"AT1G02700",341.585482762099,4.08957867563465,0.306158904645034,13.3576995919037,1.06814355548008e-40,3.61082590981429e-38
